1,Dusty,De Goey,27,Female,ddegoey0@washington.edu,"2, 7, 8",1,2.94
2,Moore,Robyns,57,Male,mrobyns1@about.me,"4, 1, 5",3,3.06
3,Oralia,Farman,67,Female,ofarman2@youtu.be,"6, 1, 3",1,3.18
4,Farlay,Postlethwaite,29,Male,fpostlethwaite3@flavors.me,"3, 2, 6",3,2.64
5,Wilt,Rumens,29,Male,wrumens4@parallels.com,"4, 6, 3",1,3.46
6,Nathaniel,Simmans,54,Male,nsimmans5@sogou.com,"6, 5, 9",2,3.49
7,Ches,Willford,63,Male,cwillford6@artisteer.com,"5, 2, 8",3,3.56
8,Wilow,Strase,42,Female,wstrase7@t-online.de,"3, 4, 6",1,3.98
9,Lyon,Yegorov,56,Male,lyegorov8@upenn.edu,"6, 9, 6",1,2.94
10,Guenna,Grocutt,51,Female,ggrocutt9@si.edu,"1, 3, 5",2,3.3
11,Bartolomeo,Bullon,24,Male,bbullona@dyndns.org,"3, 4, 8",2,2.71
12,Patrick,Colt,61,Male,pcoltb@mit.edu,"5, 3, 2",3,2.7
13,Andy,Billam,33,Female,abillamc@economist.com,"3, 2, 1",4,3.01
14,Hal,Corneliussen,59,Male,hcorneliussend@jiathis.com,"6, 7, 5",3,3.34
15,Matthieu,Beauvais,50,Male,mbeauvaise@de.vu,"7, 4, 2",3,3.81
16,Ernesto,Dearing,58,Male,edearingf@salon.com,"5, 1, 8",4,2.89
17,Kerwin,Twamley,45,Male,ktwamleyg@reference.com,"7, 9, 6",4,3.33
18,Reg,Whettleton,69,Male,rwhettletonh@nationalgeographic.com,"8, 5, 4",1,3.77
19,Buddy,Le Galle,43,Male,blegallei@google.com.br,"2, 9, 1",4,3.82
20,Aindrea,Risbie,67,Female,arisbiej@prnewswire.com,"1, 8, 3",2,2.52
21,Francis,Luxmoore,36,Male,fluxmoorek@furl.net,"7, 2, 6",4,2.82
22,Celinka,Domenichelli,62,Female,cdomenichellil@histats.com,"2, 1, 5",3,2.78
23,Gaven,Domico,44,Male,gdomicom@addtoany.com,"8, 7, 4",3,3.34
24,Humberto,MacTrustey,45,Male,hmactrusteyn@slideshare.net,"2, 8, 6",4,3.14
25,Dosi,Pengilly,49,Female,dpengillyo@craigslist.org,"2, 7, 4",3,2.9
26,Pip,Piel,69,Male,ppielp@angelfire.com,"8, 5, 1",1,2.72
27,Lanie,Cridlin,60,Male,lcridlinq@wordpress.com,"5, 3, 7",3,3.7
28,Vera,Rossoni,33,Female,vrossonir@chronoengine.com,"6, 7, 5",3,3.27
29,Laryssa,Fricker,32,Female,lfrickers@blinklist.com,"7, 2, 6",2,3.83
30,Silvie,Bessell,67,Female,sbessellt@clickbank.net,"4, 3, 8",4,3.17
31,Pru,Pinner,60,Female,ppinneru@netlog.com,"1, 8, 2",2,3.6
32,Bonny,Jurick,68,Female,bjurickv@wordpress.com,"2, 4, 6",2,3.3
33,Austin,Harring,29,Male,aharringw@google.com.hk,"4, 2, 1",3,3.17
34,Britni,Cullagh,57,Female,bcullaghx@google.it,"5, 6, 9",2,2.7
35,Trev,Delouch,48,Male,tdelouchy@indiatimes.com,"2, 4, 9",3,2.94
36,Gabriela,Conrad,54,Female,gconradz@instagram.com,"2, 1, 5",1,3.46
37,Zacharia,Tewkesbury.,34,Male,ztewkesbury10@eepurl.com,"8, 1, 9",3,2.77
38,Logan,Stanluck,50,Male,lstanluck11@histats.com,"2, 1, 8",2,2.65
39,Alphonse,Farquharson,68,Male,afarquharson12@washington.edu,"4, 5, 1",3,3.1
40,Fidel,Edgeley,48,Male,fedgeley13@myspace.com,"2, 7, 5",4,3.49
41,Babara,Youster,52,Female,byouster14@weebly.com,"2, 8, 1",3,3.6
42,Sandor,Wozencraft,60,Male,swozencraft15@wiley.com,"2, 7, 9",1,2.84
43,Iggie,Gourley,37,Male,igourley16@ocn.ne.jp,"9, 1, 3",4,3.09
44,Catina,Doust,54,Female,cdoust17@1688.com,"4, 1, 7",2,3.31
45,Noami,Purry,48,Female,npurry18@about.com,"6, 1, 3",3,3
46,Liliane,Cracknell,32,Female,lcracknell19@infoseek.co.jp,"2, 1, 7",1,2.89
47,Hermann,Gurge,33,Male,hgurge1a@1und1.de,"3, 5, 6",2,3.9
48,Lelia,Cleverley,49,Female,lcleverley1b@narod.ru,"3, 9, 6",1,3.27
49,Fern,Pople,61,Female,fpople1c@ihg.com,"2, 8, 5",1,2.99
50,Loella,Westfield,53,Female,lwestfield1d@usgs.gov,"1, 4, 7",1,2.76
